T_a,theta_V,theta_R
-20,41.5,34.178571428571416
-19,41.0,33.85714285714285
-18,40.5,33.53571428571428
-17,40.0,33.21428571428571
-16,39.5,32.89285714285714
-15,39.0,32.57142857142856
-14,38.5,32.24999999999999
-13,38.0,31.928571428571423
-12,37.5,31.607142857142854
-11,37.0,31.28571428571428
-10,36.5,30.964285714285708
-9,36.0,30.64285714285714
-8,35.5,30.32142857142857
-7,35.0,29.999999999999996
-6,34.5,29.678571428571427
-5,34.0,29.357142857142854
-4,33.5,29.035714285714285
-3,33.0,28.71428571428571
-2,32.5,28.392857142857142
-1,32.0,28.07142857142857
0,31.5,27.75
1,31.0,27.42857142857143
2,30.5,27.107142857142858
3,30.0,26.78571428571429
4,29.5,26.464285714285715
5,29.0,26.142857142857146
6,28.5,25.821428571428573
7,28.0,25.500000000000004
8,27.5,25.17857142857143
9,27.0,24.85714285714286
10,26.5,24.535714285714292
11,26.0,24.21428571428572
12,25.5,23.892857142857146
13,25.0,23.571428571428577
14,24.5,23.250000000000007
15,24.0,22.928571428571434
16,23.5,22.607142857142865
17,23.0,22.285714285714292
18,22.5,21.964285714285722
19,22.0,21.642857142857153
20,21.5,21.32142857142858
