TIME,T_amb,RLT_FVR,RLT_SB,RLT_SpS,RLT_TV
1.0,0.1,27.71785714285714,27.71785714285714,27.71785714285714,27.71785714285714
1.25,-1.0875,28.099553571428572,28.099553571428572,28.099553571428572,28.099553571428572
1.5,-1.5625,28.252232142857142,28.252232142857142,28.252232142857142,28.252232142857142
1.75,-1.9875,28.388839285714283,28.388839285714283,28.388839285714283,28.388839285714283
2.0,-2.3625,28.509375,28.509375,28.509375,28.509375
2.25,-2.7375,28.629910714285714,28.629910714285714,28.629910714285714,28.629910714285714
2.5,-3.1125,28.750446428571426,28.750446428571426,28.750446428571426,28.750446428571426
2.75,-3.3625,28.83080357142857,28.83080357142857,28.83080357142857,28.83080357142857
3.0,-3.4875,28.87098214285714,28.87098214285714,28.87098214285714,28.87098214285714
3.25,-3.6125,28.911160714285714,28.911160714285714,28.911160714285714,28.911160714285714
3.5,-3.7375,28.951339285714283,28.951339285714283,28.951339285714283,28.951339285714283
3.75,-3.8375,28.98348214285714,28.98348214285714,28.98348214285714,28.98348214285714
4.0,-3.9125,29.007589285714285,29.007589285714285,29.007589285714285,29.007589285714285
4.25,-3.9875,29.031696428571426,29.031696428571426,29.031696428571426,29.031696428571426
4.5,-4.0625,29.05580357142857,29.05580357142857,29.05580357142857,29.05580357142857
4.75,-4.1625,29.087946428571428,29.087946428571428,29.087946428571428,29.087946428571428
5.0,-4.2875,29.128124999999997,29.128124999999997,29.128124999999997,29.128124999999997
5.25,-4.4125,29.16830357142857,29.16830357142857,29.16830357142857,29.16830357142857
5.5,-4.5375,29.20848214285714,29.20848214285714,29.20848214285714,29.20848214285714
5.75,-4.5875,29.22455357142857,29.22455357142857,29.22455357142857,29.22455357142857
6.0,-4.5625,29.216517857142854,29.216517857142854,29.216517857142854,29.216517857142854
6.25,-4.5375,29.20848214285714,29.20848214285714,29.20848214285714,29.20848214285714
6.5,-4.5125,29.200446428571425,29.200446428571425,29.200446428571425,29.200446428571425
6.75,-4.425,29.172321428571426,29.172321428571426,29.172321428571426,29.172321428571426
7.0,-4.275,29.12410714285714,29.12410714285714,29.12410714285714,29.12410714285714
7.25,-4.125,29.075892857142854,29.075892857142854,29.075892857142854,29.075892857142854
7.5,-3.975,29.02767857142857,29.02767857142857,29.02767857142857,29.02767857142857
7.75,-3.9375,29.015625,29.015625,29.015625,29.015625
8.0,-4.0125,29.03973214285714,29.03973214285714,29.03973214285714,29.03973214285714
8.25,-4.0875,29.063839285714284,29.063839285714284,29.063839285714284,29.063839285714284
8.5,-4.1625,29.087946428571428,29.087946428571428,29.087946428571428,29.087946428571428
8.75,-4.0875,29.063839285714284,29.063839285714284,29.063839285714284,29.063839285714284
9.0,-3.8625,28.991517857142856,28.991517857142856,28.991517857142856,28.991517857142856
9.25,-3.6375,28.91919642857143,28.91919642857143,28.91919642857143,28.91919642857143
9.5,-3.4125,28.846874999999997,28.846874999999997,28.846874999999997,28.846874999999997
9.75,-3.2125,28.782589285714284,28.782589285714284,28.782589285714284,28.782589285714284
10.0,-3.0375,28.726339285714285,28.726339285714285,28.726339285714285,28.726339285714285
10.25,-2.8625,28.670089285714283,28.670089285714283,28.670089285714283,28.670089285714283
10.5,-2.6875,28.613839285714285,28.613839285714285,28.613839285714285,28.613839285714285
10.75,-2.5125,28.557589285714286,28.557589285714286,28.557589285714286,28.557589285714286
11.0,-2.3375,28.501339285714284,28.501339285714284,28.501339285714284,28.501339285714284
11.25,-2.1625,28.445089285714285,28.445089285714285,28.445089285714285,28.445089285714285
11.5,-1.9875,28.388839285714283,28.388839285714283,28.388839285714283,28.388839285714283
11.75,-1.775,28.320535714285715,28.320535714285715,28.320535714285715,28.320535714285715
12.0,-1.525,28.240178571428572,28.240178571428572,28.240178571428572,28.240178571428572
12.25,-1.275,28.159821428571426,28.159821428571426,28.159821428571426,28.159821428571426
12.5,-1.025,28.079464285714284,28.079464285714284,28.079464285714284,28.079464285714284
12.75,-0.7875000000000002,28.003125,28.003125,28.003125,28.003125
13.0,-0.5625,27.930803571428573,27.930803571428573,27.930803571428573,27.930803571428573
13.25,-0.3375,27.85848214285714,27.85848214285714,27.85848214285714,27.85848214285714
13.5,-0.1125,27.786160714285714,27.786160714285714,27.786160714285714,27.786160714285714
13.75,0.05,27.73392857142857,27.73392857142857,27.73392857142857,27.73392857142857
14.0,0.15000000000000002,27.701785714285716,27.701785714285716,27.701785714285716,27.701785714285716
14.25,0.25,27.669642857142858,27.669642857142858,27.669642857142858,27.669642857142858
14.5,0.35000000000000003,27.6375,27.6375,27.6375,27.6375
14.75,0.4125,27.617410714285715,27.617410714285715,27.617410714285715,27.617410714285715
15.0,0.4375,27.609375,27.609375,27.609375,27.609375
15.25,0.4625,27.601339285714285,27.601339285714285,27.601339285714285,27.601339285714285
15.5,0.4875,27.59330357142857,27.59330357142857,27.59330357142857,27.59330357142857
15.75,0.5375,27.57723214285714,27.57723214285714,27.57723214285714,27.57723214285714
16.0,0.6125,27.553125,27.553125,27.553125,27.553125
16.25,0.6875,27.529017857142858,27.529017857142858,27.529017857142858,27.529017857142858
16.5,0.7625,27.504910714285714,27.504910714285714,27.504910714285714,27.504910714285714
16.75,0.8125,27.488839285714285,27.488839285714285,27.488839285714285,27.488839285714285
17.0,0.8375000000000001,27.48080357142857,27.48080357142857,27.48080357142857,27.48080357142857
17.25,0.8625,27.47276785714286,27.47276785714286,27.47276785714286,27.47276785714286
17.5,0.8874999999999998,27.464732142857144,27.464732142857144,27.464732142857144,27.464732142857144
17.75,0.9375,27.448660714285715,27.448660714285715,27.448660714285715,27.448660714285715
18.0,1.0125,27.42455357142857,27.42455357142857,27.42455357142857,27.42455357142857
18.25,1.0875,27.400446428571428,27.400446428571428,27.400446428571428,27.400446428571428
18.5,1.1625,27.376339285714288,27.376339285714288,27.376339285714288,27.376339285714288
18.75,1.2125,27.36026785714286,27.36026785714286,27.36026785714286,27.36026785714286
19.0,1.2375,27.352232142857144,27.352232142857144,27.352232142857144,27.352232142857144
19.25,1.2625,27.34419642857143,27.34419642857143,27.34419642857143,27.34419642857143
19.5,1.2875,27.336160714285715,27.336160714285715,27.336160714285715,27.336160714285715
19.75,1.2875,27.336160714285715,27.336160714285715,27.336160714285715,27.336160714285715
20.0,1.2625,27.34419642857143,27.34419642857143,27.34419642857143,27.34419642857143
20.25,1.2375,27.352232142857144,27.352232142857144,27.352232142857144,27.352232142857144
20.5,1.2125,27.36026785714286,27.36026785714286,27.36026785714286,27.36026785714286
20.75,1.225,27.35625,27.35625,27.35625,27.35625
21.0,1.275,27.340178571428574,27.340178571428574,27.340178571428574,27.340178571428574
21.25,1.3249999999999995,27.324107142857144,27.324107142857144,27.324107142857144,27.324107142857144
21.5,1.375,27.308035714285715,27.308035714285715,27.308035714285715,27.308035714285715
21.75,1.3624999999999998,27.31205357142857,27.31205357142857,27.31205357142857,27.31205357142857
22.0,1.2875,27.336160714285715,27.336160714285715,27.336160714285715,27.336160714285715
22.25,1.2125,27.36026785714286,27.36026785714286,27.36026785714286,27.36026785714286
22.5,1.1375000000000002,27.384375000000002,27.384375000000002,27.384375000000002,27.384375000000002
22.75,1.0750000000000002,27.404464285714287,27.404464285714287,27.404464285714287,27.404464285714287
23.0,1.025,27.420535714285716,27.420535714285716,27.420535714285716,27.420535714285716
23.25,0.9750000000000002,27.43660714285714,27.43660714285714,27.43660714285714,27.43660714285714
23.5,0.925,27.45267857142857,27.45267857142857,27.45267857142857,27.45267857142857
23.75,0.8625,27.47276785714286,27.47276785714286,27.47276785714286,27.47276785714286
24.0,0.7875,27.496875,27.496875,27.496875,27.496875
24.25,0.7125,27.520982142857143,27.520982142857143,27.520982142857143,27.520982142857143
24.5,0.6375,27.545089285714287,27.545089285714287,27.545089285714287,27.545089285714287
24.75,0.5874999999999999,27.561160714285716,27.561160714285716,27.561160714285716,27.561160714285716
25.0,0.5625,27.569196428571427,27.569196428571427,27.569196428571427,27.569196428571427
25.25,0.5375000000000001,27.57723214285714,27.57723214285714,27.57723214285714,27.57723214285714
25.5,0.5125,27.585267857142856,27.585267857142856,27.585267857142856,27.585267857142856
25.75,0.5,27.589285714285715,27.589285714285715,27.589285714285715,27.589285714285715
26.0,0.5,27.589285714285715,27.589285714285715,27.589285714285715,27.589285714285715
26.25,0.5,27.589285714285715,27.589285714285715,27.589285714285715,27.589285714285715
26.5,0.5,27.589285714285715,27.589285714285715,27.589285714285715,27.589285714285715
26.75,0.45,27.605357142857144,27.605357142857144,27.605357142857144,27.605357142857144
27.0,0.35,27.6375,27.6375,27.6375,27.6375
27.25,0.25,27.669642857142858,27.669642857142858,27.669642857142858,27.669642857142858
27.5,0.15000000000000002,27.701785714285716,27.701785714285716,27.701785714285716,27.701785714285716
27.75,0.1,27.71785714285714,27.71785714285714,27.71785714285714,27.71785714285714
28.0,0.1,27.71785714285714,27.71785714285714,27.71785714285714,27.71785714285714
28.25,0.1,27.71785714285714,27.71785714285714,27.71785714285714,27.71785714285714
28.5,0.1,27.71785714285714,27.71785714285714,27.71785714285714,27.71785714285714
28.75,0.1125,27.713839285714286,27.713839285714286,27.713839285714286,27.713839285714286
29.0,0.1375,27.70580357142857,27.70580357142857,27.70580357142857,27.70580357142857
29.25,0.16250000000000003,27.697767857142857,27.697767857142857,27.697767857142857,27.697767857142857
29.5,0.1875,27.689732142857142,27.689732142857142,27.689732142857142,27.689732142857142
29.75,0.1625,27.697767857142857,27.697767857142857,27.697767857142857,27.697767857142857
30.0,0.08749999999999998,27.721875,27.721875,27.721875,27.721875
30.25,0.012499999999999983,27.745982142857144,27.745982142857144,27.745982142857144,27.745982142857144
30.5,-0.0625,27.770089285714285,27.770089285714285,27.770089285714285,27.770089285714285
30.75,-0.175,27.80625,27.80625,27.80625,27.80625
31.0,-0.325,27.854464285714286,27.854464285714286,27.854464285714286,27.854464285714286
31.25,-0.475,27.90267857142857,27.90267857142857,27.90267857142857,27.90267857142857
31.5,-0.625,27.950892857142858,27.950892857142858,27.950892857142858,27.950892857142858
31.75,-0.85,28.023214285714285,28.023214285714285,28.023214285714285,28.023214285714285
32.0,-1.15,28.119642857142857,28.119642857142857,28.119642857142857,28.119642857142857
32.25,-1.4499999999999995,28.21607142857143,28.21607142857143,28.21607142857143,28.21607142857143
32.5,-1.75,28.3125,28.3125,28.3125,28.3125
32.75,-1.8625,28.348660714285714,28.348660714285714,28.348660714285714,28.348660714285714
33.0,-1.7875,28.32455357142857,28.32455357142857,28.32455357142857,28.32455357142857
33.25,-1.7125,28.300446428571426,28.300446428571426,28.300446428571426,28.300446428571426
33.5,-1.6375000000000002,28.276339285714286,28.276339285714286,28.276339285714286,28.276339285714286
33.75,-1.5,28.232142857142858,28.232142857142858,28.232142857142858,28.232142857142858
34.0,-1.3000000000000005,28.16785714285714,28.16785714285714,28.16785714285714,28.16785714285714
34.25,-1.1,28.103571428571428,28.103571428571428,28.103571428571428,28.103571428571428
34.5,-0.9,28.039285714285715,28.039285714285715,28.039285714285715,28.039285714285715
34.75,-0.6125,27.946875,27.946875,27.946875,27.946875
35.0,-0.23750000000000004,27.826339285714287,27.826339285714287,27.826339285714287,27.826339285714287
35.25,0.13749999999999996,27.70580357142857,27.70580357142857,27.70580357142857,27.70580357142857
35.5,0.5125,27.585267857142856,27.585267857142856,27.585267857142856,27.585267857142856
35.75,0.6875,27.529017857142858,27.529017857142858,27.529017857142858,27.529017857142858
36.0,0.6624999999999999,27.537053571428572,27.537053571428572,27.537053571428572,27.537053571428572
36.25,0.6375,27.545089285714287,27.545089285714287,27.545089285714287,27.545089285714287
36.5,0.6125,27.553125,27.553125,27.553125,27.553125
36.75,0.6875,27.529017857142858,27.529017857142858,27.529017857142858,27.529017857142858
37.0,0.8625,27.47276785714286,27.47276785714286,27.47276785714286,27.47276785714286
37.25,1.0375,27.416517857142857,27.416517857142857,27.416517857142857,27.416517857142857
37.5,1.2125,27.36026785714286,27.36026785714286,27.36026785714286,27.36026785714286
37.75,1.2125,27.36026785714286,27.36026785714286,27.36026785714286,27.36026785714286
38.0,1.0375,27.416517857142857,27.416517857142857,27.416517857142857,27.416517857142857
38.25,0.8625,27.47276785714286,27.47276785714286,27.47276785714286,27.47276785714286
38.5,0.6875,27.529017857142858,27.529017857142858,27.529017857142858,27.529017857142858
38.75,0.4625,27.601339285714285,27.601339285714285,27.601339285714285,27.601339285714285
39.0,0.18749999999999997,27.689732142857142,27.689732142857142,27.689732142857142,27.689732142857142
39.25,-0.08750000000000006,27.778125,27.778125,27.778125,27.778125
39.5,-0.3625,27.866517857142856,27.866517857142856,27.866517857142856,27.866517857142856
39.75,-0.6625,27.962946428571428,27.962946428571428,27.962946428571428,27.962946428571428
40.0,-0.9875,28.067410714285714,28.067410714285714,28.067410714285714,28.067410714285714
40.25,-1.3125,28.171875,28.171875,28.171875,28.171875
40.5,-1.6375000000000002,28.276339285714286,28.276339285714286,28.276339285714286,28.276339285714286
40.75,-1.8875,28.35669642857143,28.35669642857143,28.35669642857143,28.35669642857143
41.0,-2.0625,28.412946428571427,28.412946428571427,28.412946428571427,28.412946428571427
41.25,-2.2375,28.46919642857143,28.46919642857143,28.46919642857143,28.46919642857143
41.5,-2.4125,28.525446428571428,28.525446428571428,28.525446428571428,28.525446428571428
41.75,-2.625,28.59375,28.59375,28.59375,28.59375
42.0,-2.875,28.674107142857142,28.674107142857142,28.674107142857142,28.674107142857142
42.25,-3.125,28.754464285714285,28.754464285714285,28.754464285714285,28.754464285714285
