TIME,T_amb,RLT_FVR,RLT_SB,RLT_SpS,RLT_TV
1.0,0.1,30.85285714285714,31.524642857142858,32.495,28.912142857142857
1.25,-1.0875,31.41267857142857,32.122633928571425,33.14812499999999,29.361696428571427
1.5,-1.5625,31.63660714285714,32.36183035714286,33.409375,29.541517857142857
1.75,-1.9875,31.836964285714284,32.57584821428571,33.643125,29.702410714285712
2.0,-2.3625,32.01375,32.7646875,33.849374999999995,29.844375
2.25,-2.7375,32.190535714285716,32.95352678571428,34.05562499999999,29.986339285714283
2.5,-3.1125,32.36732142857143,33.14236607142857,34.261874999999996,30.128303571428567
2.75,-3.3625,32.48517857142857,33.26825892857143,34.39937499999999,30.222946428571426
3.0,-3.4875,32.54410714285714,33.331205357142856,34.46812499999999,30.270267857142855
3.25,-3.6125,32.60303571428572,33.394151785714286,34.536874999999995,30.317589285714284
3.5,-3.7375,32.661964285714284,33.457098214285715,34.605624999999996,30.36491071428571
3.75,-3.8375,32.70910714285714,33.50745535714285,34.660624999999996,30.402767857142855
4.0,-3.9125,32.74446428571429,33.54522321428571,34.701874999999994,30.43116071428571
4.25,-3.9875,32.77982142857143,33.582991071428566,34.74312499999999,30.459553571428568
4.5,-4.0625,32.815178571428575,33.620758928571426,34.78437499999999,30.487946428571426
4.75,-4.1625,32.86232142857143,33.67111607142857,34.83937499999999,30.52580357142857
5.0,-4.2875,32.92125,33.73406249999999,34.90812499999999,30.573124999999997
5.25,-4.4125,32.980178571428574,33.79700892857142,34.97687499999999,30.620446428571427
5.5,-4.5375,33.03910714285714,33.85995535714285,35.045624999999994,30.667767857142852
5.75,-4.5875,33.06267857142857,33.88513392857143,35.07312499999999,30.686696428571427
6.0,-4.5625,33.050892857142856,33.872544642857136,35.059374999999996,30.67723214285714
6.25,-4.5375,33.03910714285714,33.85995535714285,35.045624999999994,30.667767857142852
6.5,-4.5125,33.027321428571426,33.84736607142857,35.03187499999999,30.65830357142857
6.75,-4.425,32.98607142857143,33.80330357142857,34.98374999999999,30.625178571428567
7.0,-4.275,32.91535714285715,33.72776785714285,34.90124999999999,30.568392857142854
7.25,-4.125,32.84464285714286,33.65223214285714,34.818749999999994,30.51160714285714
7.5,-3.975,32.77392857142857,33.576696428571424,34.73624999999999,30.454821428571424
7.75,-3.9375,32.75625,33.5578125,34.715624999999996,30.440624999999997
8.0,-4.0125,32.791607142857146,33.59558035714286,34.756874999999994,30.469017857142855
8.25,-4.0875,32.82696428571429,33.63334821428571,34.79812499999999,30.49741071428571
8.5,-4.1625,32.86232142857143,33.67111607142857,34.83937499999999,30.52580357142857
8.75,-4.0875,32.82696428571429,33.63334821428571,34.79812499999999,30.49741071428571
9.0,-3.8625,32.72089285714286,33.52004464285714,34.67437499999999,30.41223214285714
9.25,-3.6375,32.61482142857143,33.40674107142857,34.550625,30.327053571428568
9.5,-3.4125,32.50875,33.293437499999996,34.426874999999995,30.241874999999997
9.75,-3.2125,32.41446428571429,33.192723214285714,34.316874999999996,30.166160714285713
10.0,-3.0375,32.331964285714285,33.10459821428571,34.22062499999999,30.099910714285713
10.25,-2.8625,32.24946428571428,33.01647321428571,34.12437499999999,30.033660714285713
10.5,-2.6875,32.166964285714286,32.92834821428571,34.028124999999996,29.967410714285712
10.75,-2.5125,32.08446428571428,32.840223214285714,33.931875,29.901160714285712
11.0,-2.3375,32.00196428571429,32.75209821428571,33.83562499999999,29.834910714285712
11.25,-2.1625,31.919464285714284,32.66397321428571,33.739374999999995,29.768660714285712
11.5,-1.9875,31.836964285714284,32.57584821428571,33.643125,29.702410714285712
11.75,-1.775,31.736785714285713,32.46883928571428,33.52625,29.621964285714284
12.0,-1.525,31.618928571428572,32.34294642857143,33.388749999999995,29.527321428571426
12.25,-1.275,31.50107142857143,32.21705357142857,33.25125,29.43267857142857
12.5,-1.025,31.383214285714285,32.091160714285714,33.113749999999996,29.338035714285713
12.75,-0.7875000000000002,31.27125,31.971562499999997,32.983124999999994,29.248124999999998
13.0,-0.5625,31.16517857142857,31.858258928571427,32.859375,29.162946428571427
13.25,-0.3375,31.05910714285714,31.744955357142857,32.735625,29.077767857142856
13.5,-0.1125,30.95303571428571,31.631651785714286,32.611875,28.992589285714285
13.75,0.05,30.87642857142857,31.549821428571427,32.522499999999994,28.93107142857143
14.0,0.15000000000000002,30.829285714285714,31.499464285714286,32.467499999999994,28.893214285714286
14.25,0.25,30.782142857142855,31.44910714285714,32.412499999999994,28.85535714285714
14.5,0.35000000000000003,30.735,31.39875,32.357499999999995,28.8175
14.75,0.4125,30.705535714285713,31.367276785714285,32.323125,28.793839285714284
15.0,0.4375,30.693749999999998,31.3546875,32.309374999999996,28.784375
15.25,0.4625,30.681964285714283,31.342098214285713,32.295625,28.774910714285713
15.5,0.4875,30.67017857142857,31.32950892857143,32.281875,28.76544642857143
15.75,0.5375,30.646607142857142,31.304330357142856,32.254374999999996,28.746517857142855
16.0,0.6125,30.61125,31.2665625,32.213125,28.718125
16.25,0.6875,30.575892857142854,31.228794642857142,32.171875,28.689732142857142
16.5,0.7625,30.540535714285713,31.191026785714286,32.130624999999995,28.661339285714284
16.75,0.8125,30.516964285714284,31.165848214285713,32.103125,28.642410714285713
17.0,0.8375000000000001,30.50517857142857,31.15325892857143,32.089375,28.63294642857143
17.25,0.8625,30.493392857142855,31.140669642857144,32.075624999999995,28.623482142857142
17.5,0.8874999999999998,30.48160714285714,31.128080357142856,32.061875,28.61401785714286
17.75,0.9375,30.458035714285714,31.102901785714284,32.034375,28.595089285714284
18.0,1.0125,30.42267857142857,31.065133928571427,31.993125,28.56669642857143
18.25,1.0875,30.387321428571425,31.02736607142857,31.951874999999998,28.53830357142857
18.5,1.1625,30.351964285714285,30.989598214285714,31.910625,28.509910714285713
18.75,1.2125,30.328392857142855,30.96441964285714,31.883125,28.490982142857142
19.0,1.2375,30.31660714285714,30.951830357142857,31.869374999999998,28.481517857142858
19.25,1.2625,30.304821428571426,30.939241071428572,31.855625,28.47205357142857
19.5,1.2875,30.29303571428571,30.926651785714284,31.841874999999998,28.462589285714287
19.75,1.2875,30.29303571428571,30.926651785714284,31.841874999999998,28.462589285714287
20.0,1.2625,30.304821428571426,30.939241071428572,31.855625,28.47205357142857
20.25,1.2375,30.31660714285714,30.951830357142857,31.869374999999998,28.481517857142858
20.5,1.2125,30.328392857142855,30.96441964285714,31.883125,28.490982142857142
20.75,1.225,30.322499999999998,30.958125,31.87625,28.48625
21.0,1.275,30.29892857142857,30.93294642857143,31.84875,28.467321428571427
21.25,1.3249999999999995,30.275357142857143,30.907767857142858,31.82125,28.448392857142856
21.5,1.375,30.251785714285713,30.882589285714285,31.79375,28.429464285714285
21.75,1.3624999999999998,30.25767857142857,30.888883928571428,31.800625,28.43419642857143
22.0,1.2875,30.29303571428571,30.926651785714284,31.841874999999998,28.462589285714287
22.25,1.2125,30.328392857142855,30.96441964285714,31.883125,28.490982142857142
22.5,1.1375000000000002,30.36375,31.0021875,31.924374999999998,28.519375
22.75,1.0750000000000002,30.393214285714283,31.033660714285713,31.95875,28.543035714285715
23.0,1.025,30.416785714285712,31.058839285714285,31.98625,28.561964285714286
23.25,0.9750000000000002,30.440357142857142,31.084017857142857,32.013749999999995,28.580892857142857
23.5,0.925,30.463928571428568,31.10919642857143,32.04125,28.599821428571428
23.75,0.8625,30.493392857142855,31.140669642857144,32.075624999999995,28.623482142857142
