 TIME                                   	Q_Abwaerme                              	Strom_WP_AB                             	
 HOURS              	NAV                 	NAV                 	
  +0.0000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +5.0000000000000000E-01	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +7.5000000000000000E-01	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.5000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.7500000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.2500000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.7500000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.2500000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.5000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.7500000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +4.2500000000000000E+00	  +2.5000000000000000E+00	  +0.0000000000000000E+00	
  +4.5000000000000000E+00	  +2.5000000000000000E+00	  +1.0617291955758628E+00	
  +4.7500000000000000E+00	  +2.5000000000000000E+00	  +1.0655901766915579E+00	
  +5.0000000000000000E+00	  +2.5000000000000000E+00	  +1.0661419660406848E+00	
  +5.2500000000000000E+00	  +2.5000000000000000E+00	  +1.0650386164276320E+00	
  +5.5000000000000000E+00	  +2.5000000000000000E+00	  +1.0639354878554830E+00	
  +5.7500000000000000E+00	  +2.5000000000000000E+00	  +1.0614539284572957E+00	
  +6.0000000000000000E+00	  +2.5000000000000000E+00	  +1.0562187328202723E+00	
  +6.2500000000000000E+00	  +2.5000000000000000E+00	  +1.0496137787316469E+00	
  +6.5000000000000000E+00	  +2.5000000000000000E+00	  +1.0430166415212321E+00	
  +6.7500000000000000E+00	  +2.5000000000000000E+00	  +1.0388983707029371E+00	
  +7.0000000000000000E+00	  +2.5000000000000000E+00	  +1.0397217826964331E+00	
  +7.2500000000000000E+00	  +2.5000000000000000E+00	  +1.0430174369286362E+00	
  +7.5000000000000000E+00	  +2.5000000000000000E+00	  +1.0463150302187161E+00	
  +7.7500000000000000E+00	  +2.5000000000000000E+00	  +1.0463150302187161E+00	
  +8.0000000000000000E+00	  +2.5000000000000000E+00	  +1.0397196562527213E+00	
  +8.2500000000000000E+00	  +2.5000000000000000E+00	  +1.0298442353230148E+00	
  +8.5000000000000000E+00	  +2.5000000000000000E+00	  +1.0199859900364023E+00	
  +8.7500000000000000E+00	  +2.5000000000000000E+00	  +1.0106915216022809E+00	
  +9.0000000000000000E+00	  +2.5000000000000000E+00	  +1.0025029533784269E+00	
  +9.2500000000000000E+00	  +2.5000000000000000E+00	  +9.9487026485975993E-01	
  +9.5000000000000000E+00	  +2.5000000000000000E+00	  +9.8724751311997261E-01	
  +9.7500000000000000E+00	  +2.5000000000000000E+00	  +9.7963459699556121E-01	
  +1.0000000000000000E+01	  +2.5000000000000000E+00	  +9.7203141457052744E-01	
  +1.0250000000000000E+01	  +2.5000000000000000E+00	  +9.6443786315083757E-01	
  +1.0500000000000000E+01	  +2.5000000000000000E+00	  +9.5685383923808842E-01	
  +1.0750000000000000E+01	  +2.5000000000000000E+00	  +9.4846748841368778E-01	
  +1.1000000000000000E+01	  +2.5000000000000000E+00	  +9.3847287960816239E-01	
  +1.1250000000000000E+01	  +2.5000000000000000E+00	  +9.2768684922847822E-01	
  +1.1500000000000000E+01	  +2.5000000000000000E+00	  +9.1691921101090534E-01	
  +1.1750000000000000E+01	  +2.5000000000000000E+00	  +9.0643849113147634E-01	
  +1.2000000000000000E+01	  +2.5000000000000000E+00	  +8.9651086176860451E-01	
  +1.2250000000000000E+01	  +2.5000000000000000E+00	  +8.8686558925967407E-01	
  +1.2500000000000000E+01	  +2.5000000000000000E+00	  +8.7723421748855313E-01	
  +1.2750000000000000E+01	  +2.5000000000000000E+00	  +8.6895281843015859E-01	
  +1.3000000000000000E+01	  +2.5000000000000000E+00	  +8.6334852463765810E-01	
  +1.3250000000000000E+01	  +2.5000000000000000E+00	  +8.5908094017780223E-01	
  +1.3500000000000000E+01	  +2.5000000000000000E+00	  +8.5481596056965437E-01	
  +1.3750000000000000E+01	  +2.5000000000000000E+00	  +8.5135290799990082E-01	
  +1.4000000000000000E+01	  +2.5000000000000000E+00	  +8.4948889039067843E-01	
  +1.4250000000000000E+01	  +2.5000000000000000E+00	  +8.4842385231404949E-01	
  +1.4500000000000000E+01	  +2.5000000000000000E+00	  +8.4735897355423129E-01	
  +1.4750000000000000E+01	  +2.5000000000000000E+00	  +8.4576184792997866E-01	
  +1.5000000000000000E+01	  +2.5000000000000000E+00	  +8.4310076269323231E-01	
  +1.5250000000000000E+01	  +2.5000000000000000E+00	  +8.3990897057436842E-01	
  +1.5500000000000000E+01	  +2.5000000000000000E+00	  +8.3671858680414946E-01	
  +1.5750000000000000E+01	  +2.5000000000000000E+00	  +8.3406118043335231E-01	
  +1.6000000000000000E+01	  +2.5000000000000000E+00	  +8.3246720099765492E-01	
  +1.6250000000000000E+01	  +2.5000000000000000E+00	  +8.3140466942088764E-01	
  +1.6500000000000000E+01	  +2.5000000000000000E+00	  +8.3034229145786642E-01	
  +1.6750000000000000E+01	  +2.5000000000000000E+00	  +8.2874890439369031E-01	
  +1.7000000000000000E+01	  +2.5000000000000000E+00	  +8.2609402140227806E-01	
  +1.7250000000000000E+01	  +2.5000000000000000E+00	  +8.2290962835439774E-01	
  +1.7500000000000000E+01	  +2.5000000000000000E+00	  +8.1972659162249473E-01	
  +1.7750000000000000E+01	  +2.5000000000000000E+00	  +8.1707527114264478E-01	
  +1.8000000000000000E+01	  +2.5000000000000000E+00	  +8.1548492576329568E-01	
  +1.8250000000000000E+01	  +2.5000000000000000E+00	  +8.1442480825684194E-01	
