 TIME                                   	Q_Abwaerme                              	Strom_WP_AB                             	
 HOURS              	NAV                 	NAV                 	
  +0.0000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +5.0000000000000000E-01	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +7.5000000000000000E-01	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.5000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.7500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.2500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +2.7500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.0000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.2500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.5000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +3.7500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +4.2500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +4.5000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +4.7500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +5.2500000000000000E+00	  +7.5000000000000000E+00	  +3.1951158492828964E+00	
  +5.5000000000000000E+00	  +7.5000000000000000E+00	  +3.1918064635664494E+00	
  +5.7500000000000000E+00	  +7.5000000000000000E+00	  +3.1843617853718871E+00	
  +6.0000000000000000E+00	  +7.5000000000000000E+00	  +3.1686561984608175E+00	
  +6.2500000000000000E+00	  +7.5000000000000000E+00	  +3.1488413361949408E+00	
  +6.5000000000000000E+00	  +7.5000000000000000E+00	  +3.1290499245636960E+00	
  +6.7500000000000000E+00	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +7.5000000000000000E+00	  +3.1191653480892989E+00	
  +7.2500000000000000E+00	  +7.5000000000000000E+00	  +3.1290523107859083E+00	
  +7.5000000000000000E+00	  +7.5000000000000000E+00	  +3.1389450906561480E+00	
  +7.7500000000000000E+00	  +7.5000000000000000E+00	  +3.1389450906561480E+00	
  +8.0000000000000000E+00	  +7.5000000000000000E+00	  +3.1191589687581640E+00	
  +8.2500000000000000E+00	  +7.5000000000000000E+00	  +3.0895327059690447E+00	
  +8.5000000000000000E+00	  +7.5000000000000000E+00	  +3.0599579701092070E+00	
  +8.7500000000000000E+00	  +7.5000000000000000E+00	  +3.0320745648068423E+00	
  +9.0000000000000000E+00	  +7.5000000000000000E+00	  +3.0075088601352808E+00	
  +9.2500000000000000E+00	  +7.5000000000000000E+00	  +2.9846107945792797E+00	
  +9.5000000000000000E+00	  +7.5000000000000000E+00	  +2.9617425393599177E+00	
  +9.7500000000000000E+00	  +7.5000000000000000E+00	  +2.9389037909866840E+00	
  +1.0000000000000000E+01	  +7.5000000000000000E+00	  +2.9160942437115822E+00	
  +1.0250000000000000E+01	  +7.5000000000000000E+00	  +2.8933135894525130E+00	
  +1.0500000000000000E+01	  +7.5000000000000000E+00	  +2.8705615177142647E+00	
  +1.0750000000000000E+01	  +7.5000000000000000E+00	  +2.8454024652410634E+00	
  +1.1000000000000000E+01	  +7.5000000000000000E+00	  +2.8154186388244873E+00	
  +1.1250000000000000E+01	  +7.5000000000000000E+00	  +2.7830605476854351E+00	
  +1.1500000000000000E+01	  +7.5000000000000000E+00	  +2.7507576330327161E+00	
  +1.1750000000000000E+01	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.2000000000000000E+01	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.2250000000000000E+01	  +7.5000000000000000E+00	  +0.0000000000000000E+00	
  +1.2500000000000000E+01	  +7.5000000000000000E+00	  +2.6317026524656590E+00	
  +1.2750000000000000E+01	  +7.5000000000000000E+00	  +2.6068584552904754E+00	
  +1.3000000000000000E+01	  +7.5000000000000000E+00	  +2.5900455739129740E+00	
  +1.3250000000000000E+01	  +7.5000000000000000E+00	  +2.5772428205334066E+00	
  +1.3500000000000000E+01	  +7.5000000000000000E+00	  +2.5644478817089631E+00	
  +1.3750000000000000E+01	  +7.5000000000000000E+00	  +2.5540587239997024E+00	
  +1.4000000000000000E+01	  +7.5000000000000000E+00	  +2.5484666711720356E+00	
  +1.4250000000000000E+01	  +7.5000000000000000E+00	  +2.5452715569421480E+00	
  +1.4500000000000000E+01	  +7.5000000000000000E+00	  +2.5420769206626934E+00	
