 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +2.6608558219092373E+00	
  +5.0000000000000000E-01	  +5.2171735247605406E+00	
  +7.5000000000000000E-01	  +5.1712484010577775E+00	
  +1.0000000000000000E+00	  +5.4191302912800126E+00	
  +1.2500000000000000E+00	  +5.6708066440962313E+00	
  +1.5000000000000000E+00	  +5.8005794779793147E+00	
  +1.7500000000000000E+00	  +5.9283523388430881E+00	
  +2.0000000000000000E+00	  +6.3324141897529964E+00	
  +2.2500000000000000E+00	  +6.7274460949407917E+00	
  +2.5000000000000000E+00	  +6.8322578541962580E+00	
  +2.7500000000000000E+00	  +6.9213350894745886E+00	
  +3.0000000000000000E+00	  +7.3258425026904535E+00	
  +3.2500000000000000E+00	  +7.7106911521891579E+00	
  +3.5000000000000000E+00	  +7.7446444130023639E+00	
  +3.7500000000000000E+00	  +7.7769614913470564E+00	
  +4.0000000000000000E+00	  +8.4271507952701974E+00	
  +4.2500000000000000E+00	  +1.4578607851703502E+01	
  +4.5000000000000000E+00	  +1.9701787659662621E+01	
  +4.7500000000000000E+00	  +1.9339386887434813E+01	
  +5.0000000000000000E+00	  +2.0102723930301895E+01	
  +5.2500000000000000E+00	  +2.1182945365320435E+01	
  +5.5000000000000000E+00	  +2.1521036340889626E+01	
  +5.7500000000000000E+00	  +2.1524832842482553E+01	
  +6.0000000000000000E+00	  +2.1980676708866223E+01	
  +6.2500000000000000E+00	  +2.1815018328262319E+01	
  +6.5000000000000000E+00	  +2.1204603764721856E+01	
  +6.7500000000000000E+00	  +2.1185540032615094E+01	
  +7.0000000000000000E+00	  +2.1559183048380465E+01	
  +7.2500000000000000E+00	  +2.2285939556471394E+01	
  +7.5000000000000000E+00	  +2.2612136873823108E+01	
  +7.7500000000000000E+00	  +2.2567447832861472E+01	
  +8.0000000000000000E+00	  +2.2840928031056414E+01	
  +8.2500000000000000E+00	  +2.3130344593557854E+01	
  +8.5000000000000000E+00	  +2.3112661212501290E+01	
  +8.7500000000000000E+00	  +2.3069020191159051E+01	
  +9.0000000000000000E+00	  +2.4190876132566796E+01	
  +9.2500000000000000E+00	  +2.4863052795947709E+01	
  +9.5000000000000000E+00	  +2.4424938570405125E+01	
  +9.7500000000000000E+00	  +2.4534517354520986E+01	
  +1.0000000000000000E+01	  +2.4464332369355855E+01	
  +1.0250000000000000E+01	  +2.4191662532891950E+01	
  +1.0500000000000000E+01	  +2.3844987386375507E+01	
  +1.0750000000000000E+01	  +2.3559255835928941E+01	
  +1.1000000000000000E+01	  +2.3435614096468989E+01	
  +1.1250000000000000E+01	  +2.3332098962947299E+01	
  +1.1500000000000000E+01	  +2.3346958781375381E+01	
  +1.1750000000000000E+01	  +2.3197127422622781E+01	
  +1.2000000000000000E+01	  +2.3036529919745828E+01	
  +1.2250000000000000E+01	  +2.2956110590591894E+01	
  +1.2500000000000000E+01	  +2.2581699054646283E+01	
  +1.2750000000000000E+01	  +2.2302588270982120E+01	
  +1.3000000000000000E+01	  +2.2154865434763106E+01	
  +1.3250000000000000E+01	  +2.1968384371717388E+01	
  +1.3500000000000000E+01	  +2.1818067675301453E+01	
  +1.3750000000000000E+01	  +2.1745365354554647E+01	
  +1.4000000000000000E+01	  +2.1997470571293849E+01	
  +1.4250000000000000E+01	  +2.1940678763452926E+01	
  +1.4500000000000000E+01	  +2.1781092298537310E+01	
  +1.4750000000000000E+01	  +2.2121357322628700E+01	
