Koordinatensystem : Lambert konform konisch
Rechtswert        : 3834500 Meter
Hochwert          : 2624500 Meter
Hoehenlage        : 72 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3834500 2624500  1  1  1   0.1 1016 147  2.5 6  3.3  85    0    0 223 -286  2
3834500 2624500  1  1  2  -1.8 1016 124  2.0 4  2.9  86    0    0 225 -286  2
3834500 2624500  1  1  3  -3.3 1015 111  1.4 4  2.6  87    0    0 224 -286  2
3834500 2624500  1  1  4  -3.8 1015 112  1.5 3  2.5  88    0    0 210 -286  2
3834500 2624500  1  1  5  -4.1 1014 120  1.4 3  2.5  89    0    0 201 -285  2
3834500 2624500  1  1  6  -4.6 1013  91  1.9 4  2.5  90    0    0 211 -287  2
3834500 2624500  1  1  7  -4.5 1012 159  1.1 3  2.4  90    0    0 218 -288  2
3834500 2624500  1  1  8  -3.9 1011 160  2.2 7  2.5  90    0    0 234 -290  2
3834500 2624500  1  1  9  -4.2 1011 103  2.5 8  2.5  90    0    1 259 -292  2
3834500 2624500  1  1 10  -3.3 1010 142  1.8 8  2.6  91    0   21 266 -294  2
3834500 2624500  1  1 11  -2.6 1009 132  2.2 7  2.8  90    0   55 265 -298  2
3834500 2624500  1  1 12  -1.9 1008 297  1.4 8  2.9  90    0   70 267 -303  2
3834500 2624500  1  1 13  -0.9 1007 115  1.6 8  3.1  89    0   64 277 -308  2
3834500 2624500  1  1 14   0.0 1006 116  1.8 8  3.1  85    0   66 281 -311  2
3834500 2624500  1  1 15   0.4 1005 164  1.4 8  3.2  82    0   58 285 -313  2
3834500 2624500  1  1 16   0.5 1004   3  1.0 8  3.2  81    0   26 289 -312  2
3834500 2624500  1  1 17   0.8 1003  68  1.3 7  3.2  80    0    2 284 -311  2
3834500 2624500  1  1 18   0.9 1003 108  2.4 8  3.2  79    0    0 286 -310  2
3834500 2624500  1  1 19   1.2 1003 114  2.9 8  3.2  76    0    0 296 -310  2
3834500 2624500  1  1 20   1.3 1002 118  3.0 8  3.1  73    0    0 297 -310  2
3834500 2624500  1  1 21   1.2 1002 109  3.3 8  3.0  72    0    0 298 -310  2
3834500 2624500  1  1 22   1.4 1002 108  2.7 7  3.0  71    0    0 291 -310  2
3834500 2624500  1  1 23   1.1 1002 126  2.1 8  2.9  70    0    0 292 -310  2
3834500 2624500  1  1 24   0.9 1002 125  2.5 7  2.9  71    0    0 292 -310  2
3834500 2624500  1  2  1   0.6 1002 107  2.4 8  3.0  74    0    0 293 -311  2
3834500 2624500  1  2  2   0.5 1002 112  1.5 8  3.0  76    0    0 301 -311  2
3834500 2624500  1  2  3   0.5 1002 106  1.6 8  3.0  76    0    0 302 -311  2
3834500 2624500  1  2  4   0.1 1003 105  2.3 8  3.0  77    0    0 302 -311  2
3834500 2624500  1  2  5   0.1 1003  96  2.8 8  2.9  75    0    0 302 -312  2
3834500 2624500  1  2  6   0.2 1003 104  1.6 6  2.7  71    0    0 284 -312  2
3834500 2624500  1  2  7  -0.1 1004  66  2.3 8  2.6  68    0    0 282 -312  2
3834500 2624500  1  2  8  -0.7 1004  43  2.2 7  2.5  68    0    0 289 -312  2
3834500 2624500  1  2  9  -1.9 1005  68  2.7 7  2.4  70    0    4 273 -312  2
3834500 2624500  1  2 10  -1.6 1007  74  3.1 5  2.4  72   13   42 246 -314  2
3834500 2624500  1  2 11  -0.8 1008  83  4.1 6  2.4  70   12   80 233 -315  2
3834500 2624500  1  2 12   0.7 1008  92  3.7 6  2.5  65   31  112 248 -317  2
3834500 2624500  1  2 13   0.6 1009  85  4.5 5  2.4  61   59  121 239 -319  2
3834500 2624500  1  2 14   1.3 1009  85  3.7 6  2.4  60   58  108 242 -319  2
3834500 2624500  1  2 15   0.6 1009  84  3.8 3  2.4  58   47   80 224 -321  2
3834500 2624500  1  2 16  -0.5 1010  91  2.4 5  2.3  60    5   36 220 -322  2
3834500 2624500  1  2 17  -1.8 1011 108  1.8 5  2.2  64    0    2 243 -320  2
3834500 2624500  1  2 18  -2.5 1012   9  0.9 5  2.2  68    0    0 246 -319  2
3834500 2624500  1  2 19  -3.5 1013 347  1.4 5  2.2  71    0    0 249 -319  2
3834500 2624500  1  2 20  -3.6 1013 345  2.1 5  2.1  73    0    0 250 -319  2
3834500 2624500  1  2 21  -3.9 1014 359  1.7 3  2.1  73    0    0 239 -319  2
3834500 2624500  1  2 22  -4.6 1015 332  2.3 1  2.1  77    0    0 217 -319  2
3834500 2624500  1  2 23  -5.0 1015 281  0.9 1  2.1  81    0    0 203 -319  2
3834500 2624500  1  2 24  -5.6 1016 312  0.7 1  2.1  83    0    0 201 -319  2
3834500 2624500  1  3  1  -5.7 1016 169  0.7 0  2.1  85    0    0 195 -319  2
3834500 2624500  1  3  2  -6.4 1016 348  1.4 0  2.1  87    0    0 187 -318  2
3834500 2624500  1  3  3  -6.5 1016 173  1.1 0  2.1  90    0    0 185 -318  2
3834500 2624500  1  3  4  -7.2 1016 129  0.9 0  2.0  89    0    0 184 -317  2
3834500 2624500  1  3  5  -7.3 1016 325  0.9 1  1.9  88    0    0 185 -316  2
3834500 2624500  1  3  6  -7.1 1017 121  1.0 4  2.0  89    0    0 207 -315  2
3834500 2624500  1  3  7  -6.3 1017 160  1.2 4  2.1  90    0    0 224 -314  2
3834500 2624500  1  3  8  -5.7 1017 280  1.1 6  2.2  90    0    0 236 -313  2
3834500 2624500  1  3  9  -5.2 1017 176  1.2 6  2.2  88    0    3 248 -311  2
