 TIME                                   	Dry                                     	
  +1.0000000000000000E+00	  +1.0000000000000001E-01	
  +1.2500000000000000E+00	  -1.0874999999999999E+00	
  +1.5000000000000000E+00	  -1.5625000000000000E+00	
  +1.7500000000000000E+00	  -1.9874999999999998E+00	
  +2.0000000000000000E+00	  -2.3624999999999998E+00	
  +2.2500000000000000E+00	  -2.7374999999999998E+00	
  +2.5000000000000000E+00	  -3.1124999999999998E+00	
  +2.7500000000000000E+00	  -3.3624999999999998E+00	
  +3.0000000000000000E+00	  -3.4874999999999998E+00	
  +3.2500000000000000E+00	  -3.6124999999999998E+00	
  +3.5000000000000000E+00	  -3.7374999999999998E+00	
  +3.7500000000000000E+00	  -3.8374999999999999E+00	
  +4.0000000000000000E+00	  -3.9124999999999996E+00	
  +4.2500000000000000E+00	  -3.9874999999999998E+00	
  +4.5000000000000000E+00	  -4.0625000000000000E+00	
  +4.7500000000000000E+00	  -4.1624999999999996E+00	
  +5.0000000000000000E+00	  -4.2874999999999996E+00	
  +5.2500000000000000E+00	  -4.4124999999999996E+00	
  +5.5000000000000000E+00	  -4.5374999999999996E+00	
  +5.7500000000000000E+00	  -4.5874999999999995E+00	
  +6.0000000000000000E+00	  -4.5625000000000000E+00	
  +6.2500000000000000E+00	  -4.5374999999999996E+00	
  +6.5000000000000000E+00	  -4.5125000000000002E+00	
  +6.7500000000000000E+00	  -4.4249999999999998E+00	
  +7.0000000000000000E+00	  -4.2750000000000004E+00	
  +7.2500000000000000E+00	  -4.1250000000000000E+00	
  +7.5000000000000000E+00	  -3.9749999999999996E+00	
  +7.7500000000000000E+00	  -3.9375000000000000E+00	
  +8.0000000000000000E+00	  -4.0125000000000002E+00	
  +8.2500000000000000E+00	  -4.0875000000000004E+00	
  +8.5000000000000000E+00	  -4.1624999999999996E+00	
  +8.7500000000000000E+00	  -4.0875000000000004E+00	
  +9.0000000000000000E+00	  -3.8624999999999998E+00	
  +9.2500000000000000E+00	  -3.6375000000000002E+00	
  +9.5000000000000000E+00	  -3.4124999999999996E+00	
  +9.7500000000000000E+00	  -3.2124999999999999E+00	
  +1.0000000000000000E+01	  -3.0375000000000001E+00	
  +1.0250000000000000E+01	  -2.8624999999999998E+00	
  +1.0500000000000000E+01	  -2.6875000000000000E+00	
  +1.0750000000000000E+01	  -2.5125000000000002E+00	
  +1.1000000000000000E+01	  -2.3374999999999999E+00	
  +1.1250000000000000E+01	  -2.1625000000000001E+00	
  +1.1500000000000000E+01	  -1.9875000000000000E+00	
  +1.1750000000000000E+01	  -1.7749999999999999E+00	
  +1.2000000000000000E+01	  -1.5249999999999999E+00	
  +1.2250000000000000E+01	  -1.2749999999999999E+00	
  +1.2500000000000000E+01	  -1.0249999999999999E+00	
  +1.2750000000000000E+01	  -7.8750000000000009E-01	
  +1.3000000000000000E+01	  -5.6250000000000000E-01	
  +1.3250000000000000E+01	  -3.3750000000000002E-01	
  +1.3500000000000000E+01	  -1.1250000000000000E-01	
  +1.3750000000000000E+01	  +5.0000000000000003E-02	
  +1.4000000000000000E+01	  +1.5000000000000002E-01	
  +1.4250000000000000E+01	  +2.5000000000000000E-01	
  +1.4500000000000000E+01	  +3.5000000000000003E-01	
  +1.4750000000000000E+01	  +4.1250000000000003E-01	
  +1.5000000000000000E+01	  +4.3750000000000000E-01	
  +1.5250000000000000E+01	  +4.6250000000000002E-01	
  +1.5500000000000000E+01	  +4.8749999999999999E-01	
  +1.5750000000000000E+01	  +5.3749999999999998E-01	
  +1.6000000000000000E+01	  +6.1250000000000004E-01	
  +1.6250000000000000E+01	  +6.8750000000000000E-01	
  +1.6500000000000000E+01	  +7.6250000000000007E-01	
  +1.6750000000000000E+01	  +8.1250000000000000E-01	
  +1.7000000000000000E+01	  +8.3750000000000013E-01	
  +1.7250000000000000E+01	  +8.6250000000000004E-01	
  +1.7500000000000000E+01	  +8.8749999999999996E-01	
  +1.7750000000000000E+01	  +9.3750000000000000E-01	
  +1.8000000000000000E+01	  +1.0125000000000000E+00	
  +1.8250000000000000E+01	  +1.0874999999999999E+00	
  +1.8500000000000000E+01	  +1.1625000000000001E+00	
  +1.8750000000000000E+01	  +1.2124999999999999E+00	
  +1.9000000000000000E+01	  +1.2375000000000000E+00	
  +1.9250000000000000E+01	  +1.2625000000000000E+00	
  +1.9500000000000000E+01	  +1.2875000000000001E+00	
  +1.9750000000000000E+01	  +1.2875000000000001E+00	
  +2.0000000000000000E+01	  +1.2625000000000000E+00	
  +2.0250000000000000E+01	  +1.2375000000000000E+00	
  +2.0500000000000000E+01	  +1.2124999999999999E+00	
  +2.0750000000000000E+01	  +1.2250000000000001E+00	
  +2.1000000000000000E+01	  +1.2749999999999999E+00	
  +2.1250000000000000E+01	  +1.3249999999999997E+00	
  +2.1500000000000000E+01	  +1.3750000000000000E+00	
  +2.1750000000000000E+01	  +1.3624999999999998E+00	
  +2.2000000000000000E+01	  +1.2875000000000001E+00	
  +2.2250000000000000E+01	  +1.2124999999999999E+00	
  +2.2500000000000000E+01	  +1.1375000000000002E+00	
  +2.2750000000000000E+01	  +1.0750000000000002E+00	
  +2.3000000000000000E+01	  +1.0249999999999999E+00	
  +2.3250000000000000E+01	  +9.7500000000000009E-01	
  +2.3500000000000000E+01	  +9.2500000000000004E-01	
  +2.3750000000000000E+01	  +8.6250000000000004E-01	
  +2.4000000000000000E+01	  +7.8749999999999998E-01	
  +2.4250000000000000E+01	  +7.1250000000000002E-01	
  +2.4500000000000000E+01	  +6.3749999999999996E-01	
  +2.4750000000000000E+01	  +5.8749999999999991E-01	
  +2.5000000000000000E+01	  +5.6250000000000000E-01	
  +2.5250000000000000E+01	  +5.3750000000000009E-01	
  +2.5500000000000000E+01	  +5.1249999999999996E-01	
  +2.5750000000000000E+01	  +5.0000000000000000E-01	
  +2.6000000000000000E+01	  +5.0000000000000000E-01	
  +2.6250000000000000E+01	  +5.0000000000000000E-01	
  +2.6500000000000000E+01	  +5.0000000000000000E-01	
  +2.6750000000000000E+01	  +4.5000000000000001E-01	
  +2.7000000000000000E+01	  +3.4999999999999998E-01	
  +2.7250000000000000E+01	  +2.4999999999999997E-01	
  +2.7500000000000000E+01	  +1.5000000000000002E-01	
