  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\9_k
 altes_Nahwaermenetz\V1_2_5\III_kaltes_Nahwaermenetz.dck                       
                                                                               
                                                                   
 Initiated at time: 2025-01-02 AT  12:28:00
 TIME                                   ,Strom_system                            ,Netzstrom                               ,PV_Strom                                ,Netzeinspeisung                         ,
  +0.0000000000000000E+00,  +1.2698999999999998E+00,  +1.2698999999999998E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E-01,  +3.0675730046079472E+00,  +3.0675730046079472E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E-01,  +4.9384017956546806E+00,  +4.9384017956546806E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E-01,  +4.7904109399996520E+00,  +4.7904109399996520E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+00,  +4.7117804944506547E+00,  +4.7117804944506547E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2500000000000000E+00,  +4.6535727647413783E+00,  +4.6535727647413783E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+00,  +4.7025124646528607E+00,  +4.7025124646528607E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+00,  +4.7648051638171509E+00,  +4.7648051638171509E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+00,  +4.7692270871301901E+00,  +4.7692270871301901E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2500000000000000E+00,  +4.7807848300576810E+00,  +4.7807848300576810E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E+00,  +4.8605688901806463E+00,  +4.8605688901806463E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7500000000000000E+00,  +4.9314941041005742E+00,  +4.9314941041005742E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+00,  +4.9864730651026035E+00,  +4.9864730651026035E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2500000000000000E+00,  +5.0261308986004174E+00,  +5.0261308986004174E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.5000000000000000E+00,  +5.0544812056735813E+00,  +5.0544812056735813E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.7500000000000000E+00,  +5.0833155624485213E+00,  +5.0833155624485213E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
