  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\9_k
 altes_Nahwaermenetz\V1_2_5\III_kaltes_Nahwaermenetz.dck                       
                                                                               
                                                                   
 Initiated at time: 2025-01-11 AT  10:15:26
 TIME                                   ,Q_th_SW_WP                              ,Q_el_SW_WP                              ,
  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E-01,  +3.7871922812564511E+00,  +2.4776883924404638E-01,
  +5.0000000000000000E-01,  +9.7871234468998942E+00,  +6.4030131978724614E-01,
  +7.5000000000000000E-01,  +9.6198506459580280E+00,  +6.2935785965938684E-01,
  +1.0000000000000000E+00,  +9.6096242945691799E+00,  +6.2868882280433813E-01,
  +1.2500000000000000E+00,  +9.6082283228226633E+00,  +6.2859749438117785E-01,
  +1.5000000000000000E+00,  +9.8730122398956102E+00,  +6.4592040774587511E-01,
  +1.7500000000000000E+00,  +1.0131180056579161E+01,  +6.6281047709525387E-01,
  +2.0000000000000000E+00,  +1.0180411628582284E+01,  +6.6603134589289692E-01,
  +2.2500000000000000E+00,  +1.0229172846340411E+01,  +6.6922144278442552E-01,
  +2.5000000000000000E+00,  +1.0472431896486246E+01,  +6.8513613842545229E-01,
  +2.7500000000000000E+00,  +1.0675395476794360E+01,  +6.9841459036744713E-01,
  +3.0000000000000000E+00,  +1.0805173283299762E+01,  +7.0690502182418158E-01,
  +3.2500000000000000E+00,  +1.0892424117662443E+01,  +7.1261321838449565E-01,
  +3.5000000000000000E+00,  +1.0972159686093654E+01,  +7.1782974497450847E-01,
  +3.7500000000000000E+00,  +1.1045584166666789E+01,  +7.2263338233238428E-01,
  +4.0000000000000000E+00,  +1.1152439445041594E+01,  +7.2962415711323103E-01,
  +4.2500000000000000E+00,  +2.3273524205171299E+01,  +1.5226198326324252E+00,
  +4.5000000000000000E+00,  +3.4209764663510740E+01,  +2.2380996400526008E+00,
  +4.7500000000000000E+00,  +3.3168895610141220E+01,  +2.1700030402483641E+00,
  +5.0000000000000000E+00,  +3.3114188453729341E+01,  +2.1664239432192538E+00,
  +5.2500000000000000E+00,  +3.3856677211131917E+01,  +2.2149996594520611E+00,
  +5.5000000000000000E+00,  +3.4694149230260948E+01,  +2.2697894495310922E+00,
