TIME,T_amb,T_V
1.0,0.1,54.886012174244684
1.25,-1.0875,56.38185626527685
1.5,-1.5625,56.97544804738614
1.75,-1.9875,57.50434684715036
2.0,-2.3625,57.96932931613978
2.25,-2.7375,58.432757926313826
2.5,-3.1125,58.894663367910226
2.75,-3.3625,59.20176879282011
3.0,-3.4875,59.35507525880653
3.25,-3.6125,59.50821896033315
3.5,-3.7375,59.66120093228957
3.75,-3.8375,59.783470752495234
4.0,-3.9125,59.87510593317522
4.25,-3.9875,59.966683768424865
4.5,-4.0625,60.058204473791086
4.75,-4.1625,60.18014358207287
5.0,-4.2875,60.332425944371906
5.25,-4.4125,60.48455196701379
5.5,-4.5375,60.636522612820556
5.75,-4.5875,60.697267579279064
6.0,-4.5625,60.66689818074174
6.25,-4.5375,60.636522612820556
6.5,-4.5125,60.60614086794815
6.75,-4.425,60.49975600775789
7.0,-4.275,60.31720475940587
7.25,-4.125,60.13442824188241
7.5,-3.975,59.951424769039356
7.75,-3.9375,59.90563823929861
8.0,-4.0125,59.99719700737611
8.25,-4.0875,60.08869871709587
8.5,-4.1625,60.18014358207287
8.75,-4.0875,60.08869871709587
9.0,-3.8625,59.81402219780189
9.25,-3.6375,59.53882826018185
9.5,-3.4125,59.263110977678
9.75,-3.2125,59.01758470973184
10.0,-3.0375,58.80240269641718
10.25,-2.8625,58.58689416364959
10.5,-2.6875,58.371056108970876
10.75,-2.5125,58.15488547994729
11.0,-2.3375,57.938379172959266
11.25,-2.1625,57.721534031952764
11.5,-1.9875,57.50434684715036
11.75,-1.775,57.24015500477708
12.0,-1.525,56.92868112655866
12.25,-1.275,56.61648435501046
12.5,-1.025,56.30355451326006
12.75,-0.7875000000000002,56.005582653990025
13.0,-0.5625,55.72266624453085
13.25,-0.3375,55.439131374551906
13.5,-0.1125,55.15496986511759
13.75,0.05,54.949347674138934
14.0,0.15000000000000002,54.82264491657835
14.25,0.25,54.69581474578717
14.5,0.35000000000000003,54.5688563922932
14.75,0.4125,54.48944198330129
15.0,0.4375,54.45766207181678
15.25,0.4625,54.42587405736279
15.5,0.4875,54.39407792758497
15.75,0.5375,54.33046127247013
16.0,0.6125,54.234975114050954
16.25,0.6875,54.139415243918975
16.5,0.7625,54.04378132107619
16.75,0.8125,53.97998406243819
17.0,0.8375000000000001,53.94807300167888
17.25,0.8625,53.91615363613487
17.5,0.8874999999999998,53.88422595289293
17.75,0.9375,53.82034558148106
18.0,1.0125,53.72446231671054
18.25,1.0875,53.628503488242856
18.5,1.1625,53.53246873949881
18.75,1.2125,53.46840321827666
19.0,1.2375,53.436357710863646
19.25,1.2625,53.40430368763409
19.5,1.2875,53.372241135078674
19.75,1.2875,53.372241135078674
20.0,1.2625,53.40430368763409
20.25,1.2375,53.436357710863646
20.5,1.2125,53.46840321827666
20.75,1.225,53.45238152820436
21.0,1.275,53.38827347836797
21.25,1.3249999999999995,53.32413128411279
21.5,1.375,53.2599548367449
21.75,1.3624999999999998,53.27600216578379
22.0,1.2875,53.372241135078674
22.25,1.2125,53.46840321827666
22.5,1.1375000000000002,53.564488780135335
22.75,1.0750000000000002,53.64450188889503
23.0,1.025,53.70847443570408
23.25,0.9750000000000002,53.77241337238929
23.5,0.925,53.83631880400945
23.75,0.8625,53.91615363613487
24.0,0.7875,54.011886831290106
24.25,0.7125,54.10754551463812
24.5,0.6375,54.20313003097852
24.75,0.5874999999999999,54.26681200695624
25.0,0.5625,54.29864072225419
25.25,0.5375000000000001,54.33046127247013
25.5,0.5125,54.36227367009485
25.75,0.5,54.37817681557953
26.0,0.5,54.37817681557953
26.25,0.5,54.37817681557953
26.5,0.5,54.37817681557953
26.75,0.45,54.44176907823234
27.0,0.35,54.5688563922932
27.25,0.25,54.69581474578717
27.5,0.15000000000000002,54.82264491657835
27.75,0.1,54.886012174244684
28.0,0.1,54.886012174244684
28.25,0.1,54.886012174244684
28.5,0.1,54.886012174244684
28.75,0.1125,54.87017334083723
29.0,0.1375,54.83848971349479
29.25,0.16250000000000003,54.806798128840725
29.5,0.1875,54.77509857491707
29.75,0.1625,54.806798128840725
30.0,0.08749999999999998,54.90184902279384
30.25,0.012499999999999983,54.996828515125635
30.5,-0.0625,55.0917369252465
30.75,-0.175,55.23396695370283
31.0,-0.325,55.42336114005969
31.25,-0.475,55.612476619559764
31.5,-0.625,55.80131582821806
31.75,-0.85,56.084061868857454
32.0,-1.15,56.46011171402459
32.25,-1.4499999999999995,56.83509845700499
32.5,-1.75,57.209039862343595
32.75,-1.8625,57.349001922862364
33.0,-1.7875,57.255709901827956
33.25,-1.7125,57.16235375945007
33.5,-1.6375000000000002,57.06893323040411
33.75,-1.5,56.89749414552417
34.0,-1.3000000000000005,56.6477368503965
34.25,-1.1,56.39751105403828
34.5,-0.9,56.14681143985049
34.75,-0.6125,55.78558972074361
35.0,-0.23750000000000004,55.3129152264882
35.25,0.13749999999999996,54.83848971349479
35.5,0.5125,54.36227367009485
35.75,0.6875,54.139415243918975
36.0,0.6624999999999999,54.171276745144326
36.25,0.6375,54.20313003097852
36.5,0.6125,54.234975114050954
36.75,0.6875,54.139415243918975
37.0,0.8625,53.91615363613487
37.25,1.0375,53.69248445406779
37.5,1.2125,53.46840321827666
37.75,1.2125,53.46840321827666
38.0,1.0375,53.69248445406779
38.25,0.8625,53.91615363613487
38.5,0.6875,54.139415243918975
38.75,0.4625,54.42587405736279
39.0,0.18749999999999997,54.77509857491707
39.25,-0.08750000000000006,55.123357320744226
39.5,-0.3625,55.4706660428882
39.75,-0.6625,55.84848274490384
40.0,-0.9875,56.25655116803916
40.25,-1.3125,56.66336035237395
40.5,-1.6375000000000002,57.06893323040411
40.75,-1.8875,57.38008505959586
41.0,-2.0625,57.59746916025134
41.25,-2.2375,57.81450935832135
41.5,-2.4125,58.03120889487711
41.75,-2.625,58.29389065113986
42.0,-2.875,58.602298522454646
42.25,-3.125,58.910034332272346
42.5,-3.375,59.21710679356001
42.75,-3.5125,59.38571698698119
43.0,-3.5375,59.416352212932765
43.25,-3.5625,59.44698094495916
43.5,-3.5875000000000004,59.477603191339284
43.75,-3.6375,59.53882826018185
44.0,-3.7125,59.630617426986014
44.25,-3.7875,59.722348666363565
44.5,-3.8625,59.81402219780189
44.75,-3.9875,59.966683768424865
45.0,-4.1625,60.18014358207287
45.25,-4.3375,60.393295060030006
45.5,-4.512499999999999,60.60614086794815
45.75,-4.65,60.77316413407882
46.0,-4.75,60.894518810941
46.25,-4.85,61.015775676990785
46.5,-4.95,61.13693520604561
46.75,-5.075,61.288248452400765
47.0,-5.225,61.46962583733934
47.25,-5.375,61.65078812956758
47.5,-5.525,61.831736860622286
47.75,-5.6125,61.93719226542343
48.0,-5.6375,61.96730916971099
48.25,-5.6625,61.997420214939616
48.5,-5.6875,62.027525407991696
48.75,-5.7875,62.147887795574775
49.0,-5.9625,62.358298241828685
49.25,-6.137500000000001,62.568425920665454
49.5,-6.3125,62.778273114965614
49.75,-6.4125000000000005,62.89806073280799
50.0,-6.4375,62.92799349043688
50.25,-6.4625,62.95792060225759
50.5,-6.4875,62.98784207470913
50.75,-6.5875,63.10747169914426
51.0,-6.762499999999999,63.31660790176437
51.25,-6.9375,63.525471509127044
