 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.5000000000000000E-01	  +2.5174425967095959E+00	
  +5.0000000000000000E-01	  +4.9174734323467408E+00	
  +7.5000000000000000E-01	  +4.8479402583832121E+00	
  +1.0000000000000000E+00	  +4.8489077959520905E+00	
  +1.2500000000000000E+00	  +4.8538265721885354E+00	
  +1.5000000000000000E+00	  +4.9613842457520922E+00	
  +1.7500000000000000E+00	  +5.0671064712414839E+00	
  +2.0000000000000000E+00	  +5.1001623315060849E+00	
  +2.2500000000000000E+00	  +5.1327724179968692E+00	
  +2.5000000000000000E+00	  +5.2320502500878927E+00	
  +2.7500000000000000E+00	  +5.3150578294180288E+00	
  +3.0000000000000000E+00	  +5.3782423363092500E+00	
  +3.2500000000000000E+00	  +5.4239412825917253E+00	
  +3.5000000000000000E+00	  +5.4564905156166503E+00	
  +3.7500000000000000E+00	  +5.4866340159975548E+00	
  +4.0000000000000000E+00	  +5.5388726359746370E+00	
  +4.2500000000000000E+00	  +1.0813571962570347E+01	
  +4.5000000000000000E+00	  +1.5587602479400225E+01	
  +4.7500000000000000E+00	  +1.5154009350069048E+01	
  +5.0000000000000000E+00	  +1.5136228220447093E+01	
  +5.2500000000000000E+00	  +1.5435721041837748E+01	
  +5.5000000000000000E+00	  +1.5770799095511732E+01	
  +5.7500000000000000E+00	  +1.5772089418806091E+01	
  +6.0000000000000000E+00	  +1.5621646325347275E+01	
  +6.2500000000000000E+00	  +1.4851406649406005E+01	
  +6.5000000000000000E+00	  +1.4240348317695251E+01	
  +6.7500000000000000E+00	  +1.4220320892068701E+01	
  +7.0000000000000000E+00	  +1.4071642907413489E+01	
  +7.2500000000000000E+00	  +1.4278148018501771E+01	
  +7.5000000000000000E+00	  +1.4608758381449132E+01	
  +7.7500000000000000E+00	  +1.4576630612558258E+01	
  +8.0000000000000000E+00	  +1.4469580364464703E+01	
  +8.2500000000000000E+00	  +1.4383869931551848E+01	
  +8.5000000000000000E+00	  +1.4391711280433229E+01	
  +8.7500000000000000E+00	  +1.4366779644654530E+01	
  +9.0000000000000000E+00	  +1.5206473129437576E+01	
  +9.2500000000000000E+00	  +1.5598888773819386E+01	
  +9.5000000000000000E+00	  +1.5020551704019162E+01	
  +9.7500000000000000E+00	  +1.4831043569907632E+01	
  +1.0000000000000000E+01	  +1.4665522438537254E+01	
  +1.0250000000000000E+01	  +1.4329283015450228E+01	
  +1.0500000000000000E+01	  +1.3964221015341932E+01	
  +1.0750000000000000E+01	  +1.3781761224861043E+01	
  +1.1000000000000000E+01	  +1.3577205283979985E+01	
  +1.1250000000000000E+01	  +1.3394376931389850E+01	
  +1.1500000000000000E+01	  +1.3262258647022621E+01	
  +1.1750000000000000E+01	  +1.3127107209994879E+01	
  +1.2000000000000000E+01	  +1.2927927573705942E+01	
  +1.2250000000000000E+01	  +1.2801838118468110E+01	
  +1.2500000000000000E+01	  +1.2759959682607613E+01	
  +1.2750000000000000E+01	  +1.2658467417320081E+01	
  +1.3000000000000000E+01	  +1.2503760186704538E+01	
  +1.3250000000000000E+01	  +1.2316633352502860E+01	
  +1.3500000000000000E+01	  +1.2187570276661681E+01	
  +1.3750000000000000E+01	  +1.2124490392185059E+01	
  +1.4000000000000000E+01	  +1.2070475511372191E+01	
  +1.4250000000000000E+01	  +1.2003046938878974E+01	
  +1.4500000000000000E+01	  +1.1976764649972191E+01	
  +1.4750000000000000E+01	  +1.2017520607563908E+01	
