  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\III
 _kaltes_Nahwaermenetz\III_kaltes_Nahwaermenetz.dck                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:44
 TIME                                   ,Strom_system                            ,Netzstrom                               ,PV_Strom                                ,Netzeinspeisung                         ,
  +0.0000000000000000E+00,  +1.2698999999999998E+00,  +1.2698999999999998E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E-01,  +3.1871200585447736E+00,  +3.1871200585447736E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E-01,  +5.0136349745342095E+00,  +5.0136349745342095E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E-01,  +4.8654396295904139E+00,  +4.8654396295904139E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+00,  +4.7866901886392590E+00,  +4.7866901886392590E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2500000000000000E+00,  +4.7284204596347390E+00,  +4.7284204596347390E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+00,  +4.7747563296737141E+00,  +4.7747563296737141E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+00,  +4.8347245514790460E+00,  +4.8347245514790460E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+00,  +4.8402295063148797E+00,  +4.8402295063148797E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2500000000000000E+00,  +4.8529801869772600E+00,  +4.8529801869772600E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E+00,  +4.9308875466568702E+00,  +4.9308875466568702E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7500000000000000E+00,  +5.0002436301116111E+00,  +5.0002436301116111E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+00,  +5.0556082671399478E+00,  +5.0556082671399478E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
