  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\III
 _kaltes_Nahwaermenetz\III_kaltes_Nahwaermenetz.dck                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:44
 TIME                                   ,Strom_Quartier                          ,Netzstrom                               ,sum_PV_Bestand                          ,COP_SB                                  ,COP_FVR                                 ,COP_TV                                  ,COP_SPS_W                               ,COP_SpS_S_TWW                           ,Strom_WP_Winter                         ,Q_WP_Winter                             ,Strom_WP_Sommer                         ,Q_WP_Sommer                             ,Strom_el_Nacherhitzung_SpS              ,Strom_Quartier                          ,Strom_Quartier                          ,Strom_Quartier                          ,Strom_Quartier                          ,Strom_Quartier                          ,Strom_Quartier                          ,Strom_Quartier                          ,Strom_Quartier                          ,Strom_Quartier                          ,
  +0.0000000000000000E+00,  +1.2698999999999998E+00,  +1.2698999999999998E+00,  +0.0000000000000000E+00,  +3.1622121432685648E+00,  +3.2141088719845232E+00,  +3.1125050682207354E+00,  +3.2141088719845232E+00,  +2.7984600000000004E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E-01,  +3.1871200585447736E+00,  +3.1871200585447736E+00,  +0.0000000000000000E+00,  +3.1210192842109419E+00,  +3.1724247773133998E+00,  +3.0717652439955079E+00,  +3.1724247773133998E+00,  +2.7984600000000004E+00,  +1.9762882222459033E+00,  +6.2696257233655546E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E-01,  +5.0136349745342095E+00,  +5.0136349745342095E+00,  +0.0000000000000000E+00,  +3.0655536209246872E+00,  +3.1162841899936953E+00,  +3.0169231499375635E+00,  +3.1162841899936953E+00,  +2.7984600000000004E+00,  +3.9372862243617264E+00,  +1.2269702812458418E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E-01,  +4.8654396295904139E+00,  +4.8654396295904139E+00,  +0.0000000000000000E+00,  +3.0367660596898385E+00,  +3.0871406511512651E+00,  +2.9884644619105041E+00,  +3.0871406511512651E+00,  +2.7984600000000004E+00,  +3.9259146295904137E+00,  +1.2119850645958028E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+00,  +4.7866901886392590E+00,  +4.7866901886392590E+00,  +0.0000000000000000E+00,  +3.0118301684890039E+00,  +3.0618932013721798E+00,  +2.9638164826008371E+00,  +3.0618932013721798E+00,  +2.7984600000000004E+00,  +3.9443093601101538E+00,  +1.2077054013829933E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2500000000000000E+00,  +4.7284204596347390E+00,  +4.7284204596347390E+00,  +0.0000000000000000E+00,  +2.9889925071920382E+00,  +3.0387675882404031E+00,  +2.9412449721122327E+00,  +3.0387675882404031E+00,  +2.7984600000000004E+00,  +3.9625528842085580E+00,  +1.2041277271221492E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+00,  +4.7747563296737141E+00,  +4.7747563296737141E+00,  +0.0000000000000000E+00,  +2.9666547585772509E+00,  +3.0161457693138058E+00,  +2.9191698450389731E+00,  +3.0161457693138058E+00,  +2.7984600000000004E+00,  +4.0769294351160550E+00,  +1.2296613467516215E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+00,  +4.8347245514790460E+00,  +4.8347245514790460E+00,  +0.0000000000000000E+00,  +2.9484025243796506E+00,  +2.9976596283147647E+00,  +2.9011339156527116E+00,  +2.9976596283147647E+00,  +2.7984600000000004E+00,  +4.1833835415244840E+00,  +1.2540359952184389E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+00,  +4.8402295063148797E+00,  +4.8402295063148797E+00,  +0.0000000000000000E+00,  +2.9376081275214112E+00,  +2.9867261454882419E+00,  +2.8904681562906602E+00,  +2.9867261454882419E+00,  +2.7984600000000004E+00,  +4.1877845344078182E+00,  +1.2507765560587135E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2500000000000000E+00,  +4.8529801869772600E+00,  +4.8529801869772600E+00,  +0.0000000000000000E+00,  +2.9304785826856206E+00,  +2.9795044343452282E+00,  +2.8834238551754612E+00,  +2.9795044343452282E+00,  +2.7984600000000004E+00,  +4.1875359173516085E+00,  +1.2476781834729032E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
