  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\II_
 NT_WN\II_HT_WN.dck                                                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:15
 TIME                                   ,Strom_system                            ,Netzstrom                               ,PV_Strom                                ,Netzeinspeisung                         ,
  +0.0000000000000000E+00,  +3.4874999999999998E+00,  +3.4874999999999998E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E-01,  +6.8270612288827426E+00,  +6.8270612288827426E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E-01,  +8.6403881635920072E+00,  +8.6403881635920072E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E-01,  +8.7372902707283373E+00,  +8.7372902707283373E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+00,  +9.3283313196160194E+00,  +9.3283313196160194E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2500000000000000E+00,  +9.7971220566352120E+00,  +9.7971220566352120E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+00,  +1.0037565540716670E+01,  +1.0037565540716670E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+00,  +1.0164357974383854E+01,  +1.0164357974383854E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+00,  +1.0441263584987530E+01,  +1.0441263584987530E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2500000000000000E+00,  +1.0737471185484178E+01,  +1.0737471185484178E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E+00,  +1.0777851704616676E+01,  +1.0777851704616676E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7500000000000000E+00,  +1.0810156329974347E+01,  +1.0810156329974347E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+00,  +1.1185507820444398E+01,  +1.1185507820444398E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2500000000000000E+00,  +1.1575132451925583E+01,  +1.1575132451925583E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.5000000000000000E+00,  +1.1588018223058116E+01,  +1.1588018223058116E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.7500000000000000E+00,  +1.1633623151675248E+01,  +1.1633623151675248E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.0000000000000000E+00,  +1.2134151290757334E+01,  +1.2134151290757334E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.2500000000000000E+00,  +1.7422926186274601E+01,  +1.7422926186274601E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5000000000000000E+00,  +2.2485070498664651E+01,  +2.2485070498664651E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.7500000000000000E+00,  +2.3139042396097302E+01,  +2.3139042396097302E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E+00,  +2.4042583701495317E+01,  +2.4042583701495317E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.2500000000000000E+00,  +2.5122581790209196E+01,  +2.5122581790209196E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.5000000000000000E+00,  +2.5713257124311177E+01,  +2.5713257124311177E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.7500000000000000E+00,  +2.5734154617459886E+01,  +2.5734154617459886E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.0000000000000000E+00,  +2.5977150723894390E+01,  +2.5977150723894390E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.2500000000000000E+00,  +2.6167516392352290E+01,  +2.6167516392352290E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.5000000000000000E+00,  +2.5984483683746010E+01,  +2.5984483683746010E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.7500000000000000E+00,  +2.5853242317672013E+01,  +2.5853242317672013E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.0000000000000000E+00,  +2.6279421943927886E+01,  +2.6279421943927886E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.2500000000000000E+00,  +2.7368813621709094E+01,  +2.7368813621709094E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E+00,  +2.8151825387185987E+01,  +2.8151825387185987E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.7500000000000000E+00,  +2.8411985965652462E+01,  +2.8411985965652462E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.0000000000000000E+00,  +2.8763051000067541E+01,  +2.8763051000067541E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.2500000000000000E+00,  +2.9127114154441401E+01,  +2.9127114154441401E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.5000000000000000E+00,  +2.9333083863827461E+01,  +2.9333083863827461E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.7500000000000000E+00,  +2.9554406786763515E+01,  +2.9536622700713213E+01,  +1.7784086050303311E-02,  +0.0000000000000000E+00,
  +9.0000000000000000E+00,  +3.0991070180362271E+01,  +3.0859757435779972E+01,  +1.3131274458229841E-01,  +0.0000000000000000E+00,
  +9.2500000000000000E+00,  +3.1924945009936199E+01,  +3.1374601176823333E+01,  +5.5034383311286617E-01,  +0.0000000000000000E+00,
  +9.5000000000000000E+00,  +3.1681983093512052E+01,  +3.0864752756017307E+01,  +8.1723033749474372E-01,  +0.0000000000000000E+00,
  +9.7500000000000000E+00,  +3.1951879365607240E+01,  +3.0878116779525126E+01,  +1.0737625860821134E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+01,  +3.2090364973846199E+01,  +3.0773613370970178E+01,  +1.3167516028760220E+00,  +0.0000000000000000E+00,
  +1.0250000000000000E+01,  +3.2041639866950852E+01,  +2.9823542830144184E+01,  +2.2180970368066690E+00,  +0.0000000000000000E+00,
  +1.0500000000000000E+01,  +3.1978486843354723E+01,  +2.9460676144655054E+01,  +2.5178106986996678E+00,  +0.0000000000000000E+00,
  +1.0750000000000000E+01,  +3.1969706069616279E+01,  +2.9180357838916731E+01,  +2.7893482306995483E+00,  +0.0000000000000000E+00,
  +1.1000000000000000E+01,  +3.2103207677412414E+01,  +2.9072344359921736E+01,  +3.0308633174906756E+00,  +0.0000000000000000E+00,
  +1.1250000000000000E+01,  +3.2261195959057716E+01,  +2.9085927706187384E+01,  +3.1752682528703313E+00,  +0.0000000000000000E+00,
  +1.1500000000000000E+01,  +3.2539909056342481E+01,  +2.9191118994640131E+01,  +3.3487900617023487E+00,  +0.0000000000000000E+00,
  +1.1750000000000000E+01,  +3.2598961287292973E+01,  +2.9110797492590855E+01,  +3.4881637947021162E+00,  +0.0000000000000000E+00,
  +1.2000000000000000E+01,  +3.2534047806150838E+01,  +2.8941535643091875E+01,  +3.5925121630589620E+00,  +0.0000000000000000E+00,
  +1.2250000000000000E+01,  +3.2394813945287297E+01,  +2.9346361108998479E+01,  +3.0484528362888179E+00,  +0.0000000000000000E+00,
