 TIME                                   	Erdreichtemepratur_100m                 	Erdreichtemperatur_3m                   	Flusswassertemperatur                   	Erdreichtemepratur_15m                  	Aussentemp                              	
  +0.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0116417896070434E+01	  +5.9142857142857146E+00	  +9.9822430083554128E+00	  +2.1000000000000001E+00	
  +2.5000000000000000E-01	  +1.0000000000000000E+01	  +1.0116272913749903E+01	  +5.9146577380952383E+00	  +9.9822432255794702E+00	  +8.5000000000000009E-01	
  +5.0000000000000000E-01	  +1.0000000000000000E+01	  +1.0115982946306051E+01	  +5.9154017857142858E+00	  +9.9822436604557954E+00	  +3.4999999999999998E-01	
  +7.5000000000000000E-01	  +1.0000000000000000E+01	  +1.0115692975132912E+01	  +5.9161458333333332E+00	  +9.9822440959030541E+00	  -1.3750000000000001E-01	
  +1.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0115403000239814E+01	  +5.9168898809523807E+00	  +9.9822445319212303E+00	  -6.1250000000000004E-01	
  +1.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0115113021636075E+01	  +5.9176339285714290E+00	  +9.9822449685103116E+00	  -1.0874999999999999E+00	
  +1.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0114823039331021E+01	  +5.9183779761904765E+00	  +9.9822454056702838E+00	  -1.5625000000000000E+00	
  +1.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0114533053333977E+01	  +5.9191220238095239E+00	  +9.9822458434011327E+00	  -1.9874999999999998E+00	
  +2.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0114243063654268E+01	  +5.9198660714285714E+00	  +9.9822462817028441E+00	  -2.3624999999999998E+00	
  +2.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0113953070301214E+01	  +5.9206101190476197E+00	  +9.9822467205754037E+00	  -2.7374999999999998E+00	
  +2.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0113663073284146E+01	  +5.9213541666666671E+00	  +9.9822471600187974E+00	  -3.1124999999999998E+00	
  +2.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0113373072612381E+01	  +5.9220982142857146E+00	  +9.9822476000330109E+00	  -3.3624999999999998E+00	
  +3.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0113083068295250E+01	  +5.9228422619047620E+00	  +9.9822480406180318E+00	  -3.4874999999999998E+00	
  +3.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0112793060342073E+01	  +5.9235863095238095E+00	  +9.9822484817738442E+00	  -3.6124999999999998E+00	
  +3.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0112503048762179E+01	  +5.9243303571428569E+00	  +9.9822489235004355E+00	  -3.7374999999999998E+00	
  +3.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0112213033564888E+01	  +5.9250744047619044E+00	  +9.9822493657977880E+00	  -3.8374999999999999E+00	
  +4.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0111923014759531E+01	  +5.9258184523809527E+00	  +9.9822498086658911E+00	  -3.9124999999999996E+00	
  +4.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0111632992355428E+01	  +5.9265625000000002E+00	  +9.9822502521047305E+00	  -3.9874999999999998E+00	
  +4.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0111342966361908E+01	  +5.9273065476190476E+00	  +9.9822506961142885E+00	  -4.0625000000000000E+00	
  +4.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0111052936788294E+01	  +5.9280505952380951E+00	  +9.9822511406945544E+00	  -4.1624999999999996E+00	
  +5.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0110762903643913E+01	  +5.9287946428571434E+00	  +9.9822515858455123E+00	  -4.2874999999999996E+00	
  +5.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0110472866938089E+01	  +5.9295386904761909E+00	  +9.9822520315671479E+00	  -4.4124999999999996E+00	
  +5.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0110182826680148E+01	  +5.9302827380952383E+00	  +9.9822524778594488E+00	  -4.5374999999999996E+00	
  +5.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0109892782879419E+01	  +5.9310267857142858E+00	  +9.9822529247223972E+00	  -4.5874999999999995E+00	
  +6.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0109602735545224E+01	  +5.9317708333333332E+00	  +9.9822533721559807E+00	  -4.5625000000000000E+00	
  +6.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0109312684686891E+01	  +5.9325148809523807E+00	  +9.9822538201601851E+00	  -4.5374999999999996E+00	
  +6.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0109022630313747E+01	  +5.9332589285714290E+00	  +9.9822542687349944E+00	  -4.5125000000000002E+00	
  +6.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0108732572435116E+01	  +5.9340029761904765E+00	  +9.9822547178803962E+00	  -4.4249999999999998E+00	
  +7.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0108442511060327E+01	  +5.9347470238095239E+00	  +9.9822551675963762E+00	  -4.2750000000000004E+00	
  +7.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0108152446198705E+01	  +5.9354910714285714E+00	  +9.9822556178829185E+00	  -4.1250000000000000E+00	
  +7.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0107862377859576E+01	  +5.9362351190476197E+00	  +9.9822560687400088E+00	  -3.9749999999999996E+00	
  +7.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0107572306052269E+01	  +5.9369791666666671E+00	  +9.9822565201676330E+00	  -3.9375000000000000E+00	
  +8.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0107282230786108E+01	  +5.9377232142857146E+00	  +9.9822569721657750E+00	  -4.0125000000000002E+00	
  +8.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0106992152070424E+01	  +5.9384672619047620E+00	  +9.9822574247344242E+00	  -4.0875000000000004E+00	
  +8.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0106702069914540E+01	  +5.9392113095238095E+00	  +9.9822578778735629E+00	  -4.1624999999999996E+00	
  +8.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0106411984327787E+01	  +5.9399553571428569E+00	  +9.9822583315831768E+00	  -4.0875000000000004E+00	
  +9.0000000000000000E+00	  +1.0000000000000000E+01	  +1.0106121895319488E+01	  +5.9406994047619044E+00	  +9.9822587858632517E+00	  -3.8624999999999998E+00	
  +9.2500000000000000E+00	  +1.0000000000000000E+01	  +1.0105831802898974E+01	  +5.9414434523809527E+00	  +9.9822592407137734E+00	  -3.6375000000000002E+00	
  +9.5000000000000000E+00	  +1.0000000000000000E+01	  +1.0105541707075572E+01	  +5.9421875000000002E+00	  +9.9822596961347259E+00	  -3.4124999999999996E+00	
  +9.7500000000000000E+00	  +1.0000000000000000E+01	  +1.0105251607858607E+01	  +5.9429315476190476E+00	  +9.9822601521260967E+00	  -3.2124999999999999E+00	
  +1.0000000000000000E+01	  +1.0000000000000000E+01	  +1.0104961505257410E+01	  +5.9436755952380951E+00	  +9.9822606086878700E+00	  -3.0375000000000001E+00	
  +1.0250000000000000E+01	  +1.0000000000000000E+01	  +1.0104671399281308E+01	  +5.9444196428571434E+00	  +9.9822610658200315E+00	  -2.8624999999999998E+00	
  +1.0500000000000000E+01	  +1.0000000000000000E+01	  +1.0104381289939630E+01	  +5.9451636904761909E+00	  +9.9822615235225651E+00	  -2.6875000000000000E+00	
  +1.0750000000000000E+01	  +1.0000000000000000E+01	  +1.0104091177241701E+01	  +5.9459077380952383E+00	  +9.9822619817954568E+00	  -2.5125000000000002E+00	
  +1.1000000000000000E+01	  +1.0000000000000000E+01	  +1.0103801061196851E+01	  +5.9466517857142858E+00	  +9.9822624406386939E+00	  -2.3374999999999999E+00	
  +1.1250000000000000E+01	  +1.0000000000000000E+01	  +1.0103510941814410E+01	  +5.9473958333333332E+00	  +9.9822629000522589E+00	  -2.1625000000000001E+00	
  +1.1500000000000000E+01	  +1.0000000000000000E+01	  +1.0103220819103703E+01	  +5.9481398809523807E+00	  +9.9822633600361375E+00	  -1.9875000000000000E+00	
  +1.1750000000000000E+01	  +1.0000000000000000E+01	  +1.0102930693074059E+01	  +5.9488839285714290E+00	  +9.9822638205903154E+00	  -1.7749999999999999E+00	
  +1.2000000000000000E+01	  +1.0000000000000000E+01	  +1.0102640563734811E+01	  +5.9496279761904765E+00	  +9.9822642817147802E+00	  -1.5249999999999999E+00	
  +1.2250000000000000E+01	  +1.0000000000000000E+01	  +1.0102350431095283E+01	  +5.9503720238095239E+00	  +9.9822647434095124E+00	  -1.2749999999999999E+00	
  +1.2500000000000000E+01	  +1.0000000000000000E+01	  +1.0102060295164806E+01	  +5.9511160714285714E+00	  +9.9822652056744996E+00	  -1.0249999999999999E+00	
