  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\II_
 NT_WN\II_HT_WN.dck                                                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:15
 TIME                                   ,Strom_system                            ,Strom_WP_Winter                         ,Strom_el_nacherhitzung_SpS              ,sum_PV_Bestand                          ,COP_WN                                  ,Q_WP_Winter                             ,Q_WP_Sommer                             ,COP_WP_Winter                           ,COP_WP_Sommer                           ,Anteil_TWW_WP_W                         ,Q_TWW_SpS_EL                            ,Strom_WP_Sommer                         ,
  +0.0000000000000000E+00,  +3.4874999999999998E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.5199135226856053E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.5199135226856053E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E-01,  +6.8270612288827426E+00,  +3.5216362288827425E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.4874007993597638E+00,  +8.7597207707772373E+00,  +0.0000000000000000E+00,  +2.4874007993597638E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E-01,  +8.6403881635920072E+00,  +5.6887881635920072E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.4436389485028243E+00,  +1.3901344326335286E+01,  +0.0000000000000000E+00,  +2.4436389485028243E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E-01,  +8.7372902707283373E+00,  +6.1065652707283364E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.4208911453478867E+00,  +1.4783329792395151E+01,  +0.0000000000000000E+00,  +2.4208911453478867E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+00,  +9.3283313196160194E+00,  +6.9604063196160197E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.4011748531013737E+00,  +1.6713152622029870E+01,  +0.0000000000000000E+00,  +2.4011748531013737E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.2500000000000000E+00,  +9.7971220566352120E+00,  +7.6197720566352114E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3831072777634099E+00,  +1.8158734243065638E+01,  +0.0000000000000000E+00,  +2.3831072777634099E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+00,  +1.0037565540716670E+01,  +7.9843405407166701E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3654264641885554E+00,  +1.8886370414104771E+01,  +0.0000000000000000E+00,  +2.3654264641885554E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+00,  +1.0164357974383854E+01,  +8.1841329743838536E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3509744234422580E+00,  +1.9240687300826853E+01,  +0.0000000000000000E+00,  +2.3509744234422580E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+00,  +1.0441263584987530E+01,  +8.5047635849875292E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3424248106722598E+00,  +1.9921769230376743E+01,  +0.0000000000000000E+00,  +2.3424248106722598E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2500000000000000E+00,  +1.0737471185484178E+01,  +8.8351961854841790E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3367763333449214E+00,  +2.0645877346698757E+01,  +0.0000000000000000E+00,  +2.3367763333449214E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E+00,  +1.0777851704616676E+01,  +8.9077517046166772E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3311670790614465E+00,  +2.0765457522255879E+01,  +0.0000000000000000E+00,  +2.3311670790614465E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7500000000000000E+00,  +1.0810156329974347E+01,  +8.9727563299743469E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3261516546348959E+00,  +2.0871991983605565E+01,  +0.0000000000000000E+00,  +2.3261516546348959E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+00,  +1.1185507820444398E+01,  +9.3754828204443985E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3222722933537026E+00,  +2.1772423990731653E+01,  +0.0000000000000000E+00,  +2.3222722933537026E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2500000000000000E+00,  +1.1575132451925583E+01,  +9.7821574519255829E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3189621731040857E+00,  +2.2684453102363676E+01,  +0.0000000000000000E+00,  +2.3189621731040857E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.5000000000000000E+00,  +1.1588018223058116E+01,  +9.8047682230581152E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3156656794478918E+00,  +2.2704565269076969E+01,  +0.0000000000000000E+00,  +2.3156656794478918E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.7500000000000000E+00,  +1.1633623151675248E+01,  +9.8539231516752483E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3118370771132231E+00,  +2.2780664897067226E+01,  +0.0000000000000000E+00,  +2.3118370771132231E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.0000000000000000E+00,  +1.2134151290757334E+01,  +1.0353851290757333E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3069414296956641E+00,  +2.3885728499556020E+01,  +0.0000000000000000E+00,  +2.3069414296956641E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.2500000000000000E+00,  +1.7422926186274601E+01,  +1.5642026186274601E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3015366172657283E+00,  +3.6000696035940386E+01,  +0.0000000000000000E+00,  +2.3015366172657283E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.5000000000000000E+00,  +2.2485070498664651E+01,  +2.0704420498664650E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.2961683515859792E+00,  +4.7540835086961764E+01,  +0.0000000000000000E+00,  +2.2961683515859792E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +4.7500000000000000E+00,  +2.3139042396097302E+01,  +2.1359792396097301E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.2924315119988203E+00,  +4.8965861178566243E+01,  +0.0000000000000000E+00,  +2.2924315119988203E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.0000000000000000E+00,  +2.4042583701495317E+01,  +2.2268433701495319E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.2918991168010030E+00,  +5.1037003532998810E+01,  +0.0000000000000000E+00,  +2.2918991168010030E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.2500000000000000E+00,  +2.5122581790209196E+01,  +2.3359481790209195E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.2929640982296995E+00,  +5.3562453098200109E+01,  +0.0000000000000000E+00,  +2.2929640982296995E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.5000000000000000E+00,  +2.5713257124311177E+01,  +2.3957732124311178E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.2940305163319987E+00,  +5.4959768595277282E+01,  +0.0000000000000000E+00,  +2.2940305163319987E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +5.7500000000000000E+00,  +2.5734154617459886E+01,  +2.3961604617459887E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.2964355433694434E+00,  +5.5026280519700258E+01,  +0.0000000000000000E+00,  +2.2964355433694434E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
